id,question,opta,optb,optc,optd,answer
1,"Find next number in the sequence:  1,4,9,16, _",2,25,36,30,B
2,3+2(5),21,10,13,7,C
3,2 duckes have _____ legs,2,6,8,4,D
4,3 squares have _______ corners,8,12,10,14,B
5,oppostie of front is________,back,forward,side,fore,A
6,antonym of poor is _______,needy,beggar,rich,meager,C
7,"find the next letter: A,C,E,___",F,G,H,D,B
8,brother:sister::father:______,grandmother,cousin,grandfather,mother,D
9,synonym of big is _____,small,large,tiny,huge,B
10,watch:time::compass:___________,clock,light,direction,speed,C
